lower,upper,q_beta0,q_beta1,c_beta0,c_beta1,fidelity
-1.0,-0.9,0.92424,0.85911,0.22643,0.11607,0.9261526800932964
-0.9,-0.8,0.58731,0.54314,0.23742,0.12828,0.9383238953755909
-0.8,-0.7000000000000001,0.45613,0.42085,0.24821,0.14177,0.9496827976216402
-0.7000000000000001,-0.6000000000000001,0.39271,0.36426,0.25865,0.15668,0.9592799707863492
-0.6000000000000001,-0.5000000000000001,0.35513,0.33165,0.26854,0.17316,0.9684755120542081
-0.5000000000000001,-0.40000000000000013,0.33069,0.31012,0.27764,0.19137,0.9777219119173576
-0.40000000000000013,-0.30000000000000016,0.3149,0.29565,0.28569,0.21149,0.9864590619088048
-0.30000000000000016,-0.20000000000000018,0.30534,0.28621,0.29237,0.23374,0.9938261151762164
-0.20000000000000018,-0.1000000000000002,0.30066,0.28122,0.29728,0.25832,0.99866021402403
-0.1000000000000002,-2.220446049250313e-16,0.29981,0.28143,0.3,0.28549,0.9999532981734437
-2.220446049250313e-16,0.09999999999999964,0.33466,0.36818,0.3,1.0,0.8137062362656975
0.09999999999999964,0.19999999999999973,0.39053,0.4118,0.3,1.0,0.7969596689054325
0.19999999999999973,0.2999999999999998,0.43805,0.455,0.3,1.0,0.7908710325809505
0.2999999999999998,0.3999999999999997,0.47793,0.49578,0.3,1.0,0.7903439439807606
0.3999999999999997,0.49999999999999956,0.51156,0.53251,0.3,1.0,0.7917531740518886
0.49999999999999956,0.5999999999999996,0.54029,0.56493,0.3,1.0,0.7935592441521173
0.5999999999999996,0.6999999999999997,0.56502,0.59358,0.3,1.0,0.7954623056113751
0.6999999999999997,0.7999999999999996,0.58635,0.61918,0.3,1.0,0.7975402460908687
0.7999999999999996,0.8999999999999995,0.60524,0.64165,0.3,1.0,0.7991181496266858
0.8999999999999995,0.9999999999999996,0.62193,0.66172,0.3,1.0,0.8005548020621411
