lower,upper,q_beta0,q_beta1,c_beta0,c_beta1,fidelity
-1.0,-0.9,2.56549,2.18694,0.5,0.0,0.5791517886162715
-0.9,-0.8,1.79112,1.52585,0.5,0.0,0.5794653478575994
-0.8,-0.7000000000000001,1.38796,1.18868,0.5,0.0,0.5768811582237728
-0.7000000000000001,-0.6000000000000001,1.15677,1.01439,0.5,0.0,0.5652970408580353
-0.6000000000000001,-0.5000000000000001,0.98065,0.87741,0.5,0.0,0.5553923177010588
-0.5000000000000001,-0.40000000000000013,0.83904,0.75661,0.5,0.0,0.5515217038768498
-0.40000000000000013,-0.30000000000000016,0.72807,0.6547,0.5,0.0,0.5529111966830946
-0.30000000000000016,-0.20000000000000018,0.64176,0.57029,0.5,0.0,0.5587618982970832
-0.20000000000000018,-0.1000000000000002,0.57477,0.50271,0.5,0.0,0.5665804768106313
-0.1000000000000002,-2.220446049250313e-16,0.52217,0.45377,0.5,0.0,0.5697436887944983
-2.220446049250313e-16,0.09999999999999964,0.52499,0.53276,0.5,1.0,0.9043640647959699
0.09999999999999964,0.19999999999999973,0.56559,0.57134,0.5,1.0,0.9030139480423988
0.19999999999999973,0.2999999999999998,0.59894,0.60842,0.5,1.0,0.9046614966947227
0.2999999999999998,0.3999999999999997,0.62626,0.64172,0.5,1.0,0.9071955750945214
0.3999999999999997,0.49999999999999956,0.64908,0.67031,0.5,1.0,0.9094448858458646
0.49999999999999956,0.5999999999999996,0.66861,0.69456,0.5,1.0,0.9111279626584751
0.5999999999999996,0.6999999999999997,0.68558,0.71531,0.5,1.0,0.9123674575199253
0.6999999999999997,0.7999999999999996,0.70019,0.73369,0.5,1.0,0.9135738296984506
0.7999999999999996,0.8999999999999995,0.71269,0.75025,0.5,1.0,0.9148674591699195
0.8999999999999995,0.9999999999999996,0.72365,0.76495,0.5,1.0,0.9160183914792315
