lower,upper,q_beta0,q_beta1,c_beta0,c_beta1,fidelity
-1.0,-0.9,0.13857,0.16807,0.10409,0.08611,0.964272634463788
-0.9,-0.8,-0.55357,-0.65841,0.13972,0.12569,0.9807754588812981
-0.8,-0.7000000000000001,0.33444,0.38572,0.18443,0.18158,0.9937919500326625
-0.7000000000000001,-0.6000000000000001,0.24343,0.26655,0.23826,0.25849,0.9999788229257212
-0.6000000000000001,-0.5000000000000001,0.24294,0.2563,0.29935,0.3603,0.9957313354108815
-0.5000000000000001,-0.40000000000000013,0.27245,0.28332,0.3631,0.48779,0.9842205299681371
-0.40000000000000013,-0.30000000000000016,0.31678,0.32919,0.42196,0.63494,0.9680745060773399
-0.30000000000000016,-0.20000000000000018,0.36922,0.38526,0.46713,0.7855,0.9490712563097936
-0.20000000000000018,-0.1000000000000002,0.42429,0.44258,0.4926,0.91287,0.9291287177007332
-0.1000000000000002,-2.220446049250313e-16,0.47729,0.49221,0.5,0.98688,0.912069053024387
-2.220446049250313e-16,0.09999999999999964,0.52435,0.53123,0.5,0.98688,0.906980311974353
0.09999999999999964,0.19999999999999973,0.56097,0.5624,0.5074,0.91287,0.925309485559313
0.19999999999999973,0.2999999999999998,0.5833,0.58566,0.53287,0.7855,0.9653237226889605
0.2999999999999998,0.3999999999999997,0.59108,0.5979,0.57804,0.63494,0.9983085408044762
0.3999999999999997,0.49999999999999956,0.58709,0.59811,0.6369,0.48779,0.9802203926106284
0.49999999999999956,0.5999999999999996,0.57512,0.58798,0.70065,0.3603,0.900160886044668
0.5999999999999996,0.6999999999999997,0.55876,0.57022,0.76174,0.25849,0.7961842385364156
0.6999999999999997,0.7999999999999996,0.53997,0.54858,0.81557,0.18158,0.7049382538932248
0.7999999999999996,0.8999999999999995,0.51826,0.52767,0.86028,0.12569,0.6344068429989715
0.8999999999999995,0.9999999999999996,0.49633,0.50637,0.89591,0.08611,0.5853870175247797
