lower,upper,q_beta0,q_beta1,c_beta0,c_beta1,fidelity
-1.0,-0.9,1.73202,1.71909,0.34568,0.22648,0.9598859267298478
-0.9,-0.8,0.89486,0.87731,0.37703,0.26131,0.971566343822697
-0.8,-0.7000000000000001,0.66062,0.6399,0.40666,0.29834,0.9814771270254783
-0.7000000000000001,-0.6000000000000001,0.56696,0.54366,0.43343,0.33659,0.9891960859354133
-0.6000000000000001,-0.5000000000000001,0.5258,0.5021,0.45627,0.37466,0.9944081363989166
-0.5000000000000001,-0.40000000000000013,0.50674,0.48342,0.47436,0.41084,0.9976893633256758
-0.40000000000000013,-0.30000000000000016,0.49827,0.47484,0.4873,0.44318,0.9994568304664749
-0.30000000000000016,-0.20000000000000018,0.4955,0.47068,0.49525,0.46969,0.9999993610326029
-0.20000000000000018,-0.1000000000000002,0.49611,0.46875,0.49902,0.48854,0.9996854235329384
-0.1000000000000002,-2.220446049250313e-16,0.49865,0.46991,0.5,0.49834,0.9992161235016126
-2.220446049250313e-16,0.09999999999999964,0.50117,0.47601,0.5,0.49834,0.9994203083539897
0.09999999999999964,0.19999999999999973,0.50145,0.48544,0.50098,0.48854,0.9999866763421748
0.19999999999999973,0.2999999999999998,0.49875,0.49351,0.50475,0.46969,0.9990588304465908
0.2999999999999998,0.3999999999999997,0.49369,0.49723,0.5127,0.44318,0.9942088285443069
0.3999999999999997,0.49999999999999956,0.48704,0.4963,0.52564,0.41084,0.9828345503185788
0.49999999999999956,0.5999999999999996,0.47933,0.49145,0.54373,0.37466,0.9626293459545988
0.5999999999999996,0.6999999999999997,0.47098,0.48335,0.56657,0.33659,0.932761432311231
0.6999999999999997,0.7999999999999996,0.46185,0.47339,0.59334,0.29834,0.8938653808855173
0.7999999999999996,0.8999999999999995,0.45085,0.46355,0.62297,0.26131,0.8468304100027948
0.8999999999999995,0.9999999999999996,0.43921,0.45267,0.65432,0.22648,0.7970979155341079
